updatedDate,2017/05/25,,,,,,,,
milestoneID,milestoneDesc,milestoneTargetCompletionDate,milestoneStatus,milestoneStatusDesc,commonBaselineArea,dcoiArea,,,
131,Ensure content updates to policies for AP review board process are approved by all stakeholders with equity and submit updated policies to OMB for review,2016/03/31,Complete,"The policies governing the AP review process are the Homeland Security Acquisition Manual (HSAM), Acquisition Planning Guide, and AP Review SOP.  The HSAM and Acquisition Planning Guide have been updated to reflect DHS CIO review and signature of Acquisition Plans for major programs as of March 31, 2016.  On February 28, 2017, the HSAM was updated to reflect that Component CIO review and signature is required for acquisition plans that include information technology.   ",acquisition,nonDataCenter,,,
85,Update INVEST to identify IT specialization,2016/12/31,Complete,"INVEST is currently tracking IT specialization for program management and project management IT certification information.  However, OCPO has determined FAITAS will be system of record for tracking IT specialization for all 20 IT competencies.  Currently, OCIO and OCPO is developing an approach to maintain all IT specialization information between the 2 systems.  he initial level of effort estimates indicate that this should be finalized by December 2016.",acquisition,nonDataCenter,,,
86,OCIO will continue to collaborate with OCPO and OCHCO to provide training to IT Project and Program Managers in support of the achievement of Program Manager- IT Specialization,2016/03/31,Complete,"EBMO is working with OCPO to capture IT skillsets for all IT project and program managers, and then map training requirements for each position to ensure that training opportunities are available to perform day to day operational responsibilities.  OCPO has identified and agreed with OCIO/EMBO regarding the source of our COTS IT training to address supplementary FAC-P/PM-IT content.    ",acquisition,nonDataCenter,,,
87,"OCPO will continue to work with OCIO to further establish the commodity manager structure, consistent with the government wide category management and strategic sourcing initiatives ",2016/03/31,Complete,Met with Director of the DHS Strategic Sourcing Program Office and established a working group to develop the updated framework for the commodity manager structure to include direct OCIO participation.  ,acquisition,nonDataCenter,,,
88,"The CPO Procurement Innovation Lab and the HSAI will develop and deploy more learning cafe events. New learning cafe events will focus on actual case studies, taught by contracting officers who have conducted acquisitions involving innovative procurement techniques",2016/03/31,Complete,The OCIO EBMO currently provides learning café events in multiple disciplines. EBMO and OCPO collaborated on a very successful Learning Cafe event where EBMO led the contracting community through the DHS Agile Development Guidebook to show how incremental IT delivery aligns with Federal Acquisition Regulations. Additional events are being planned.,acquisition,nonDataCenter,,,
89,OCPO procurement innovator designation/recognition program is being developed to recognize individuals choosing to fulfill certain learning events as DHS Innovation Coach or Innovation Master ,2016/03/30,Complete,OCPO developed a pilot micro-credential program and is currently conducting focus group sessions on final badge design.,acquisition,nonDataCenter,,,
90,"OCPO, PARM and OCIO will continue efforts to enhance the acquisition and SELC guidance to determine appropriate visibility and analysis of IT cost elements, strategy/acquisition plans, and strategy to determine that the CIO has appropriate review, governance, and oversight of IT spending and implementation of IT policy, such as incremental delivery of IT capabilities and use of shared services ",2016/06/24,Complete,"All actions/tasks completed. OCPO, PARM and OCIO have collaborated and defined an approach for reviewing Acquisition Strategy/Plans through the ITAR  process. ",acquisition,nonDataCenter,,,
91,DHS will establish a draft tailored version of an SELC path for non-major IT acquisitions for components and headquarters that do not have a published SELC or equivalent,2016/05/31,Complete,"EBMO completed an SELC path for non-major IT acquisitions. This SELC path includes document templates, technical review exit criteria/approval letter templates, and technical review template guidance. The non-major IT acquisition SELC was socialized by announcing it at the ITPM Center of Excellence (COE) teleconference and by sending the link to the completed documents to the ITPM COE, SELC, and Agile COE distribution lists.",acquisition,nonDataCenter,,,
98,OCIO and OCPO will review and document the existing CPO process for acquisition plan reviews,2015/11/13,Complete,Updated To-Be process for the Acquisition Plan has been finalized. ,acquisition,nonDataCenter,,,
99,"OCPO and OCIO will determine what procurement policy/oversight changes, if any, need to be made",2015/11/15,Complete,Reviewed the Acquisition Plan policies and made determination on policy changes needed. ,acquisition,nonDataCenter,,,
100,OCIO and OCPO will identify processes to reflect CIO participation in the review of acquisition plans of any investments that include IT resources and incorporate CIO signature authority for IT strategy/acquisition plans. OCIO and OCPO will update relevant policies to ensure compliance with OMB Common Baseline ,2016/03/31,Complete,"The AP review process has been coordinated and approved by OCPO, the HCAs, and PARM. The HSAM and Acquisition Planning Guide have been updated to reflect DHS CIO review and signature of Acquisition Plans for major programs as of March 31, 2016. This review occurs before APs are approved by the Chief Procurement Officer. On February 28, 2017, the HSAM was updated to reflect that Component CIO review and signature is required for acquisition plans that include information technology. ",acquisition,nonDataCenter,,,
101,Component heads of contracting activity will include Component CIO review and approval as part of the approval procedures for acquisition plans below the CPO review thresholds ,2016/06/03,Complete,"The Component HCAs have agreed to include Component CIO review and approval of acquisition plans as part of the approval procedures for acquisition plans below the CPO review thresholds.  The procedure for implementing that review has been finalized.  The HSAM and Acquisition Planning Guide will be updated as of October 1, 2016, to codify Component CIO review.   ",acquisition,nonDataCenter,,,
102,"OCIO will develop specific criteria, ConOps, and training documents to support the CIO review and signatory requirements for acquisition plans ",2016/08/19,Complete,Specific criteria and process steps have been developed for both DHS and Component CIO review and signature of acquisition plans.   DHS CIO review will be incorporated into the HQ IT Acquisition Review (ITAR) process and the ITAR Essentials Guide has been updated to reflect inclusion of the AP review and will serve as the CONOPS and SOP. Training is underway and specific curriculum has been developed for implementing CIO review and signature of APs.   ,acquisition,nonDataCenter,,,
103,"OCIO, in collaboration with OCPO, will perform a threshold analysis to identify/define ""substantial change"" and ""significant contract"" ",2016/02/14,Complete,"The threshold analysis pertains to the potential for modifying which acquisitions are reviewed by the DHS ITAR process. Going forward, DHS ITAR will review acquisition plans and acquisitions for all Level 1, Level 2 and Level 3 programs with  total estimated cost (per FYSHP) of $25,000,000 or more, and within those investments, all acquisitions of $2.5 million and above. ",acquisition,nonDataCenter,,,
128,Ensure content updates to policies for LCCE review board process are approved by all stakeholders with equity and submit updated policies to OMB for Review.,2016/03/31,Complete,All relevant policies were identified and updated as needed.,acquisition,nonDataCenter,,,
129,"Identify relevant policies that impact process steps, roles, and responsibilities for LCCE review board process. ",2015/12/15,Complete,All relevant policies were identified and updated as needed.,acquisition,nonDataCenter,,,
108,"OCIO subject matter experts will develop an executive-level leadership competency applicable to CIO SES, SL and ST employees, to include a basic definition of the competency and behavioral standards at two rating levels of performance (“Achieved Expectations” and “Achieved Excellence”) ",2015/11/20,Complete,"The leadership competency has been prepared and approved by OCHCO as a sub-element in Critical Element 1 for SESs for 2016.  1.10b Steward of IT Resources -- Advances IT services and solutions and delivers IT capabilities in a manner that is the most efficient to integrate people, processes, and technology across the Department. This was briefed to Component CIOs through the CIO Council.",organizationAndWorkforce,nonDataCenter,,,
109,"OCHCO will incorporate this competency as a sub-element in Critical Element 1: Leadership Competencies in SES and Senior Level and Scientific Professional/Technical (SL/ST) performance plans, amend performance system descriptions as necessary, and submit these amendments to the Office of Personnel Management (OPM). This CIO-centered competency will be included as part of the annual performance appraisal and rating as applicable only to designated CIO position incumbents. ",2016/01/31,Complete,OCHCO has incorporated this competency as a sub-element in Critical Element 1 for SEs for 2016. OPM has approved this critical element. The proposed IT competency was briefed to Component CIOs at the DHS CIO Council in early February. SES performance metrics were provided by OCHCO and all Component CIOs have been informed on same.   ,organizationAndWorkforce,nonDataCenter,,,
110,Develop a scorecard to evaluate effectiveness of the IT competency in performance plans,2016/03/31,Complete,"DHS OCIO’s development of a new IT executive-level leadership competency for Component CIOs, designation of three Strategic Initiatives, and standards for Achieved Excellence and Achieved Expectations, provide the vehicle for the CIO to evaluate the effectiveness of the IT competency in Component CIO performance plans.   ",organizationAndWorkforce,nonDataCenter,,,
111,"CHCO will provide guidance during the implementation and closeout of the performance appraisal cycle that will provide Line of Business (i.e. CIO, CAO, CPO, etc.) input into the agency-wide critical elements",2015/11/12,Complete,OCHCO provided a template and advised that the scorecard needs to assess the criteria for success. The template describes performance goals at the outset and an end-of-year appraisal to assess the success of the Component CIO in meeting those goals.,organizationAndWorkforce,nonDataCenter,,,
112,OCIO and OCHCO will collaborate to include evaluating rating officials and reviewing officials in the provided survey report,2015/11/20,Complete,Report posted on www.dhs.gov/digitalstrategy on 8/15. ,organizationAndWorkforce,nonDataCenter,,,
113,Conduct a survey to determine the effectiveness of the IT competency ,2016/06/28,Complete,"OCHCO has advised that EBMO document how/whether the Component CIO competency translates the results into action. The DHS CIO Front Office has agreed to conduct survey as part of the contractual workforce planning resources. On-going competency work is also being analyzed, as a part of the overall Government wide Summit to Reshape the Federal IT Program Management Certification under FITARA.",organizationAndWorkforce,nonDataCenter,,,
114,CIO and CHCO will collaborate to include evaluating rating officials and reviewing officials in the provided survey report,2015/11/20,Complete,Report posted on www.dhs.gov/digitalstrategy on 8/15. ,organizationAndWorkforce,nonDataCenter,,,
115,OCIO will continue to collaborate with OCHCO to further refine the DHS IT competency model and identify training opportunities that will enhance IT staff development at multiple levels,2017/09/30,Deferred,"OCIO will initiate the workforce assessments/gap analysis, along with having focus group discussions from OCIO employees to gather information regarding high-level IT skills, competencies, and training needs.  ECD for the report is June 30, 2017.  OCIO, PARM, OCPO, and OCHCO will conduct a competency/skills assessment that will identify future IT skillset needs. ECD is September 30, 2017. OCIO will determine steps to resolve IT skills gaps identified across OCIO.  ECD:  December 31, 2017.    ",organizationAndWorkforce,nonDataCenter,,,
116,OCIO and OCHCO will develop a workforce planning process for assessment of current IT skills ,2017/12/31,Deferred,"OCIO will initiate the workforce assessments/gap analysis, along with having focus group discussions from OCIO employees to gather information regarding high-level IT skills, competencies, and training needs.  The ECD for the report is June 30, 2017.  OCIO, PARM, OCPO, and OCHCO will conduct a competency/skills assessment that will identify future IT skillset needs. ECD is September 30, 2017. OCIO will determine steps to resolve IT skills gaps identified across OCIO.  ECD:  December 31, 2017.  ",organizationAndWorkforce,nonDataCenter,,,
117,OCIO will continue to collaborate with OCPO on the IT Supplement to the DHS annual Acquisition Human Capital Plan (AHCP) to improve the development and recruitment of IT personnel ,2016/03/31,Complete,"OCIO/EBMO has worked with OCPO to provide IT updates to the AHCP throughout FY2016.  The plan is under review by OCPO’s executive chain.  Discussions with OCPO indicate that the AHCP was finalized on March 31, and this action item was closed at that time.",organizationAndWorkforce,nonDataCenter,,,
118,OCIO will work with OCPO and OCHCO to further develop self-assessment tools used to streamline acquisition of FAC-P/PM-IT competencies,2017/09/30,Deferred,"OCIO will initiate the workforce assessments/gap analysis, along with having focus group discussions from OCIO employees to gather information regarding high-level IT skills, competencies, and training needs.  ECD for the report is June 30, 2017.  OCIO, PARM, OCPO, and OCHCO will conduct a competency/skills assessment that will identify future IT skillset needs. ECD is September 30, 2017. OCIO will determine steps to resolve IT skills gaps identified across OCIO.  ECD:  December 31, 2017.    ",organizationAndWorkforce,nonDataCenter,,,
119,Utilize the workforce planning process to assess skills and employ Digital Services staff,2017/09/30,Complete ,"OCIO EBMO engaged Digital Service Integrated Project Teams (IPTs), working with critical stakeholders to employ existing tools and metrics to identify the appropriate Digital Services Staff.  The Digital Services team provided an approach for the manner in identifying and recruiting the appropriate Digital Services.  ",organizationAndWorkforce,nonDataCenter,, , 
120,Identify existing course and training inventory (i.e. sponsors & course offerings) ,2015/11/15,Complete,OCIO is working collaboratively with OCHCO and HSAI to take inventory of training opportunities within DHS.  DHS will continue to support through the development of a survey to augment the assessment process.,organizationAndWorkforce,nonDataCenter,,,
121,Align existing course inventory to acquisition certifications and IT specialization,2016/06/28,Complete,An initial course inventory for acquisition certifications has been identified for the FAI model.  OCIO is currently reviewing internal training systems and course offerings (Pre and Post execution of HQ and Components survey) to perform a crosswalk and build out a roadmap for IT Specialization. ,organizationAndWorkforce,nonDataCenter,,,
122,Identify Agency mission training needs (per FITARA guidance and policies) ,2016/09/30,Complete,"This action item will be addressed and completed as part of OCIO's, OCHCO 'sand OCPO's efforts to identify the workforce strategy and roadmap, and all mission training needs will be frequently reassessed after the strategy has been completed.  This action item will be completed once the strategy and roadmap has been defined.",organizationAndWorkforce,nonDataCenter,,,
123,Identify existing employee skillsets (Acquisition & IT Specialization) – per FITARA guidance and policies ,2016/02/28,Complete,"EBMO has collaborated with OCPO, OCHCO, and OCIO Front Office to document the current operational state for how DHS identifies and captures employee skill sets, and has defined existing gaps with this process, as well as with the ability to map training courses to existing IT skillsets.  This documentation has been forwarded to stakeholders for their review and approval.  ",organizationAndWorkforce,nonDataCenter,,,
124,Identify course gaps for employee skillsets enhancement ,2016/02/28,Complete,"EBMO has collaborated with OCPO, OCHCO, and OCIO Front Office to document the current operational state for how DHS identifies and captures employee skill sets, and has defined existing gaps with this process, as well as with the ability to map training courses to existing IT skillsets.  This documentation has been forwarded to the aforementioned stakeholders for their review and approval.  ",organizationAndWorkforce,nonDataCenter,,,
125,Identify strategy/roadmap/metrics to improve training and employee skillsets (fulfill gaps),2016/09/30,Complete,"OCHCO has stated that there is a strategy and roadmap in place for improving training and employee skillsets.  OCHCO stated that their strategy also included the analysis and potential development of a Positional Description System (PDS) which would support the capture and reporting of skillsets for all positions across DHS (including IT).  As this action item is more strategic in nature, EBMO can demonstrate OCIO involvement in the OCHCO strategic roadmap by September 30th 2016.",organizationAndWorkforce,nonDataCenter,,,
126,Execute strategy/roadmap ,2017/12/30,Deferred,"Executing the OCIO initiatives as part of this roadmap (and subsequent reporting of defined metrics) will not be fully realized or implemented until at least FY2018, but OCIO should be able to demonstrate incremental progress for executing the objectives and tasks as part of the strategic roadmap in the short and long term.      ",organizationAndWorkforce,nonDataCenter,,,
127,Report out on metrics ,2018/03/30,Deferred,"Executing the OCIO initiatives as part of this roadmap (and subsequent reporting of defined metrics) will not be fully realized or implemented until at least FY2018, but OCIO should be able to demonstrate incremental progress for executing the objectives and tasks as part of the strategic roadmap in the short and long term.",organizationAndWorkforce,nonDataCenter,,,
130,OCIO and OCPO will work collaboratively with stakeholders to provide Commercial Off the Shelf (COTS) training targeted to IT acquisitions ,2015/12/15,Complete,"OCIO and OCPO are working collaboratively with stakeholders to provide COTS training to IT acquisitions personnel. OCIO, OCPO, and PARM are currently actively representing DHS on 5 IPTs sponsored by FAI with the specific intent of improving IT competency of project and program managers across the Federal government.",organizationAndWorkforce,nonDataCenter,,,
